date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:17	1727/1727	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22929ce7d7e388db6476689917f37a23f3%22	https://brittanychiang.com/robots.txt		(from )
13:44:17	63523/63523	---MCZ	200	added ('OK')	text/html	etag:W/%224d4b638e7251ab8d460fad8e3962d033%22	https://brittanychiang.com/	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/index.html	(from )
13:44:18	29846/29846	---M--	200	added ('OK')	image/png	etag:%224715285b22d39cff91e117a3073078c1%22	https://brittanychiang.com/favicon/android-chrome-512x512.png	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/favicon/android-chrome-512x512.png	(from https://brittanychiang.com/)
13:44:18	7097/7097	---M--	200	added ('OK')	image/png	etag:%223a9c96c9d443df39bc3c52107023b204%22	https://brittanychiang.com/favicon/android-chrome-192x192.png	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/favicon/android-chrome-192x192.png	(from https://brittanychiang.com/)
13:44:18	6471/6471	---M--	200	added ('OK')	image/png	etag:%227629eca3efbad40f4646e40e5f556505%22	https://brittanychiang.com/favicon/apple-touch-icon.png	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/favicon/apple-touch-icon.png	(from https://brittanychiang.com/)
13:44:18	726/726	---M--	200	added ('OK')	image/png	etag:%22df2ee965717dbc2369285c78d35d6f8b%22	https://brittanychiang.com/favicon/favicon-32x32.png	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/favicon/favicon-32x32.png	(from https://brittanychiang.com/)
13:44:19	363/363	---M--	200	added ('OK')	image/png	etag:%22c01c5577e16b0b155e9f2f2c94e7cfab%22	https://brittanychiang.com/favicon/favicon-16x16.png	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/favicon/favicon-16x16.png	(from https://brittanychiang.com/)
13:44:19	362/362	---M--	200	added ('OK')	application/manifest+json	etag:%22b641dd1eb518bca62451b389a8d46b41%22	https://brittanychiang.com/favicon/site.webmanifest	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/favicon/site.webmanifest	(from https://brittanychiang.com/)
13:44:19	324864/324864	---M--	200	added ('OK')	font/woff2	etag:%228dd26c3dd0125fb16ce19b8f5e8273fb%22	https://brittanychiang.com/_next/static/media/730e8169368baf37-s.p.woff2	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/media/730e8169368baf37-s.p.woff2	(from https://brittanychiang.com/)
13:44:20	98868/98868	---M--	200	added ('OK')	font/woff2	etag:%22dc131113894217b5031000575d9de002%22	https://brittanychiang.com/_next/static/media/f1f0c35b32161446-s.p.woff2	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/media/f1f0c35b32161446-s.p.woff2	(from https://brittanychiang.com/)
13:44:20	105924/105924	---M--	200	added ('OK')	font/woff2	etag:%2275db5319e7e87c587019a5df08d7272c%22	https://brittanychiang.com/_next/static/media/dc792b508e6f91c7-s.p.woff2	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/media/dc792b508e6f91c7-s.p.woff2	(from https://brittanychiang.com/)
13:44:20	112184/112184	---M--	200	added ('OK')	font/woff2	etag:%22f1e11535e56c67698e263673f625103e%22	https://brittanychiang.com/_next/static/media/84d3493a9fd22f1c-s.p.woff2	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/media/84d3493a9fd22f1c-s.p.woff2	(from https://brittanychiang.com/)
13:44:20	105804/105804	---M--	200	added ('OK')	font/woff2	etag:%22007ad31a53f4ab3f58ee74f2308482ce%22	https://brittanychiang.com/_next/static/media/fcb100c7607696fd-s.p.woff2	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/media/fcb100c7607696fd-s.p.woff2	(from https://brittanychiang.com/)
13:44:21	112048/112048	---M--	200	added ('OK')	font/woff2	etag:%223031b683bafcd9ded070c00d784f4626%22	https://brittanychiang.com/_next/static/media/d90f295d0c348006-s.p.woff2	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/media/d90f295d0c348006-s.p.woff2	(from https://brittanychiang.com/)
13:44:21	106876/106876	---M--	200	added ('OK')	font/woff2	etag:%22fd26ff23f831db9ae85a805386529385%22	https://brittanychiang.com/_next/static/media/d593a8df799d4ab1-s.p.woff2	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/media/d593a8df799d4ab1-s.p.woff2	(from https://brittanychiang.com/)
13:44:21	106140/106140	---M--	200	added ('OK')	font/woff2	etag:%22444a7284663a3bc886683eb81450b294%22	https://brittanychiang.com/_next/static/media/579e0f95cacfae57-s.p.woff2	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/media/579e0f95cacfae57-s.p.woff2	(from https://brittanychiang.com/)
13:44:22	111808/111808	---M--	200	added ('OK')	font/woff2	etag:%2296284e2a02af46d9ffa2d189eaad5483%22	https://brittanychiang.com/_next/static/media/828a494e04a45cbd-s.p.woff2	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/media/828a494e04a45cbd-s.p.woff2	(from https://brittanychiang.com/)
13:44:22	30014/30014	---MCZ	200	added ('OK')	text/css	etag:W/%223cf7796771b56cbd4fe58c395b312028%22	https://brittanychiang.com/_next/static/css/93d15fcb46b04baa.css	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/css/93d15fcb46b04baa.css	(from https://brittanychiang.com/)
13:44:22	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e928ee341b362fcb7753f99bd7fdc091%22	https://brittanychiang.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://brittanychiang.com/)
13:44:23	2375/2375	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ad4a00faf6be5c0d54922f503d2132a%22	https://brittanychiang.com/_next/static/chunks/webpack-5146130448d8adf7.js	C:/Users/Matheus/OneDrive/Cloud/WorkSpace/MeuPortfolio/brittanychiang.com/_next/static/chunks/webpack-5146130448d8adf7.js	(from https://brittanychiang.com/)
